sampleID,sampleLat,sampleLon,year,window_years,fc,t2m_mean,t2m_var,t2m_ac,tp_mean,tp_var,tp_ac,def_mean,def_var,def_ac,ssrd_mean,ssrd_var,ssrd_ac,TAC_EVI_bimonthly_24,Coef1,Coef2,Coef3,Coef4,Coef5,Coef6,Coef7,Coef8,diff,eTAC
4,-3.95000627,-73.44026569,2002,4,98,298.1857368,0.498645752,NaN,0.007291485,3.65705771002649e-06,NaN,-0.003732481,4.22887488832264e-06,NaN,16203141.03,3.62234E+12,NaN,NaN,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,NaN,NaN
4,-3.95000627,-73.44026569,2003,4,98,298.2323863,0.495514601,NaN,0.007210127,3.6251866050461e-06,NaN,-0.00365398,4.22544234876531e-06,NaN,16194875.42,3.50158E+12,NaN,NaN,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,NaN,NaN
4,-3.95000627,-73.44026569,2004,4,98,298.361084,0.560660682,0.427722264,0.006863207,3.40753774709601e-06,-0.078040163,-0.003294499,4.05671158891419e-06,-0.007956569,16301111.02,3.42285E+12,0.387603358,0.453597619,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,0,0.453597619
4,-3.95000627,-73.44026569,2005,4,98,298.5168813,0.489408516,0.41934647,0.006722676,3.28175326980617e-06,-0.082865139,-0.003122975,4.11327718785045e-06,-0.022585556,16416838.96,3.46182E+12,0.341884045,0.415962342,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.002679012,0.418641354
4,-3.95000627,-73.44026569,2006,4,98,298.557958,0.478677138,0.413041517,0.006616052,3.17771632012588e-06,-0.031182933,-0.002975517,3.88642939092131e-06,0.024699007,16557105.33,3.2263E+12,0.354563669,0.415962342,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,0.007733046,0.408229296
4,-3.95000627,-73.44026569,2007,4,98,298.6074219,0.493434264,0.38673474,0.0065257,3.77339559927358e-06,-0.01128323,-0.002866749,4.41852190723458e-06,0.035533126,16697277.31,3.14427E+12,0.349543893,0.413338562,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,0.023707227,0.389631335
4,-3.95000627,-73.44026569,2008,4,98,298.5800476,0.38345331,0.37275573,0.006737719,4.11008027778646e-06,0.044422796,-0.00307773,4.74608378373528e-06,0.072116281,16709675.04,2.8774E+12,0.310223162,0.322239218,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.002063854,0.324303072
4,-3.95000627,-73.44026569,2009,4,98,298.512502,0.404847652,0.348286627,0.006988637,4.71576503442546e-06,0.114749875,-0.003362924,5.35252271451611e-06,0.125936883,16531448.92,2.92097E+12,0.279043509,0.362211261,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,0.013278656,0.348932605
4,-3.95000627,-73.44026569,2010,4,98,298.608963,0.472286263,0.350722692,0.007018325,5.22071204759902e-06,0.143326156,-0.003399532,5.95964057646444e-06,0.137912468,16501079.44,3.13969E+12,0.226534804,0.356841291,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,0.009944029,0.346897262
4,-3.95000627,-73.44026569,2011,4,98,298.5707753,0.397837939,0.416518892,0.007225297,5.35553496131649e-06,0.186433298,-0.003617755,6.2500161582743e-06,0.178798546,16350993.69,3.37303E+12,0.249046596,0.378787488,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.001394053,0.380181541
4,-3.95000627,-73.44026569,2012,4,98,298.5744832,0.378899412,0.482407606,0.007333638,6.50505079872691e-06,0.181179119,-0.0037227,7.54546770108655e-06,0.180317561,16319948.42,3.26332E+12,0.302677489,0.422588144,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.01104892,0.433637065
4,-3.95000627,-73.44026569,2013,4,98,298.5632579,0.379956771,0.576204794,0.007272551,5.70852740601068e-06,0.1593771,-0.003652199,6.68022546260562e-06,0.171219782,16339891.71,3.24277E+12,0.35538258,0.453368067,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.025878434,0.479246501
4,-3.95000627,-73.44026569,2014,4,98,298.4231618,0.27666454,0.595557759,0.007472803,5.04823294621981e-06,0.11232555,-0.003895549,6.0068909534838e-06,0.137665582,16099704.17,3.00912E+12,0.381978535,0.354638286,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.003144305,0.357782591
4,-3.95000627,-73.44026569,2015,4,98,298.4948425,0.387786453,0.518779388,0.007587303,5.44798510988842e-06,0.048063822,-0.00402061,6.83559194828698e-06,0.074754257,16048925.38,3.56024E+12,0.282811313,0.204263532,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.023903646,0.228167177
4,-3.95000627,-73.44026569,2016,4,98,298.634201,0.501228876,0.462936145,0.007621094,4.99135982690844e-06,0.014594795,-0.00405131,6.34104944453023e-06,0.042401445,16003624.42,3.85529E+12,0.204588587,0.064098633,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,0.024116909,0.039981724
4,-3.95000627,-73.44026569,2017,4,98,298.7364909,0.448124681,0.389475634,0.007586836,6.45479316848248e-06,0.013331048,-0.003997854,7.87949117858701e-06,0.032057516,16076976.42,3.52348E+12,0.155705958,-0.096502211,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.030987219,-0.065514992
4,-3.95000627,-73.44026569,2018,4,98,298.7610219,0.488777128,0.349831421,0.007574434,6.86589599452242e-06,0.052565548,-0.003970157,8.37853818265286e-06,0.063667665,16101749.69,3.78118E+12,0.141247509,-0.132512631,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.003913619,-0.128599012
4,-3.95000627,-73.44026569,2019,4,98,298.7634989,0.397088208,0.366893853,0.007629115,7.2188891524041e-06,0.102777885,-0.004016727,8.39127892518076e-06,0.111264547,16064360.31,3.02761E+12,0.183147137,-0.098769648,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.014727696,-0.084041952
4,-3.95000627,-73.44026569,2020,4,98,298.7979177,0.353665242,0.334094314,0.007213659,7.06050205502894e-06,0.158416634,-0.00358662,8.31252971032185e-06,0.161892063,16187296.13,3.24634E+12,0.183563261,-0.048670619,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.020193766,-0.028476853
4,-3.95000627,-73.44026569,2021,4,98,298.7705129,0.401567547,0.300582528,0.007371059,7.53688315210697e-06,0.170181385,-0.003726866,8.76666464985025e-06,0.178399537,16269115.56,3.80477E+12,0.194157211,0.035302368,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.014485813,0.049788181
4,-3.95000627,-73.44026569,2022,4,98,298.816335,0.413887534,0.285881115,0.006962419,9.64772960975922e-06,0.172414846,-0.003514354,9.30940799072349e-06,0.181976482,15475912.11,1.12622E+13,0.233343773,0.113474747,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,-0.038072035,0.151546782
4,-3.95000627,-73.44026569,2023,4,98,298.9712067,0.672893878,0.286874954,0.005635622,1.01878794123261e-05,0.264899318,-0.002795458,7.34029390906618e-06,0.205739572,12884322.05,2.96292E+13,0.403872216,0.204227652,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,0.034206736,0.170020915
