sampleID,sampleLat,sampleLon,year,window_years,fc,t2m_mean,t2m_var,t2m_ac,tp_mean,tp_var,tp_ac,def_mean,def_var,def_ac,ssrd_mean,ssrd_var,ssrd_ac,TAC_NIRv_bimonthly_24,Coef1,Coef2,Coef3,Coef4,Coef5,Coef6,Coef7,Coef8,diff,eTAC
15,-1.7100037,-51.45030739,2015,4,100,299.7055766,1.975244968,0.385622451,0.0054394,1.80E-05,0.291215364,-0.002149325,1.72E-05,0.300196525,17699349.92,1.05618E+13,0.34687514,0.445934229,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0.009484867,0.436449362
15,-1.7100037,-51.45030739,2016,4,100,299.7858531,1.666795576,0.428934724,0.005679631,1.91E-05,0.260911259,-0.002363508,1.88E-05,0.250230134,17594273,1.05831E+13,0.351098508,0.461437414,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0.009318193,0.452119221
15,-1.7100037,-51.45030739,2017,4,100,299.8667806,1.81945616,0.500528515,0.006009413,2.42E-05,0.255336828,-0.00276663,2.33E-05,0.226655329,17667306.58,1.13331E+13,0.375342511,0.480644806,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0.023958671,0.456686135
15,-1.7100037,-51.45030739,2018,4,100,299.8794708,1.811068408,0.612172622,0.005969086,2.26E-05,0.26647807,-0.002706282,2.18E-05,0.22276085,17658730.79,1.04681E+13,0.386127091,0.53573793,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0.007711413,0.528026517
15,-1.7100037,-51.45030739,2019,4,100,299.821523,1.534277642,0.694519963,0.005956604,2.06E-05,0.303765898,-0.002680438,2.03E-05,0.247321496,17403382.75,1.06845E+13,0.339973073,0.618754635,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,-0.023140362,0.641894998
15,-1.7100037,-51.45030739,2020,4,100,299.7667898,1.640146581,0.628376897,0.006069564,2.11E-05,0.326367271,-0.002817426,2.08E-05,0.28625179,17280499.56,1.15264E+13,0.276360395,0.649733034,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,-0.052320117,0.702053151
15,-1.7100037,-51.45030739,2021,4,100,299.6986949,1.429880629,0.519601481,0.005905939,1.63E-05,0.297652206,-0.00257178,1.65E-05,0.266452538,17222475.54,1.04525E+13,0.18883407,0.603310764,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,-0.040018314,0.643329077
15,-1.7100037,-51.45030739,2022,4,100,299.7006531,1.350937211,0.416607688,0.006204995,2.30E-05,0.249386038,-0.003015261,2.24E-05,0.216060316,16189426,1.5786E+13,0.145738534,0.485723257,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,-0.090525874,0.57624913
15,-1.7100037,-51.45030739,2023,4,100,299.8599192,1.868527844,0.380723585,0.005487595,2.35E-05,0.244258738,-0.002810551,2.05E-05,0.175283676,13634350.97,2.7991E+13,0.304811726,0.307099909,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,-0.067586901,0.37468681
15,-1.7100037,-51.45030739,2024,4,100,300.1019491,2.266220354,0.457371358,0.004920362,2.27E-05,0.272980177,-0.002405998,1.93E-05,0.154154704,13455130.84,3.24968E+13,0.484181485,0.170312638,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0.000941318,0.16937132
