sampleID,sampleLat,sampleLon,t2m_ave,t2m_var,t2m_ac,tp_ave,tp_var,tp_ac,def_ave,def_var,def_ac,ssrd_ave,ssrd_var,ssrd_ac,fc
8929,-3.6,-55.7,299.164803873698,1.54131096035275,0.558626964291006,0.00663725644393708,2.06223108636139e-05,0.2465484314114,0.0100643822136044,2.05587753726259e-05,0.300243125165371,16543093.6416667,13297527463860.8,0.359652505430973,100
8930,-5.7,-51,298.425506998698,1.90356110418853,0.448743694088664,0.00480479878289771,1.65711470405445e-05,0.196974824027275,0.00750329806075266,1.95992763416302e-05,0.250154070814896,16816297.915,12962875832960.4,0.25960581304418,100
8931,-6.3,-67.9,298.846027832031,0.814385033038548,0.478561615385809,0.00631270906228262,1.07510517586375e-05,0.172277793660833,0.00989926932340798,1.19263086244175e-05,0.222442665015273,16116528.085,9936417671871.24,0.300086606880843,100
8932,-7.4,-72.3,298.563794759115,0.772044364703672,0.45077145911288,0.00586842049252785,9.49708609297985e-06,0.210233143015348,0.00940786109335022,1.1061227627089e-05,0.22197695299123,16330524.2383333,9893071182732.24,0.321039706300393,100
8933,-2.1,-50.5,299.805565592448,2.04607895349513,0.48824024413862,0.00643011802099257,3.00154918788173e-05,0.0996950408478851,0.00969036184784879,3.16601709104426e-05,0.138694345891809,17228054.0483333,16741710179769.1,0.376885560101254,54
8935,-1.4,-52.9,299.753736165365,2.08907992572622,0.442451357993128,0.00546636036509881,1.89404333571234e-05,0.309850442983756,0.00863890302590638,2.06252092323072e-05,0.364540468217618,16878949.235,17138399685462.4,0.307727424961967,100
8938,-15.2,-51.5,300.215057779948,2.28064052006805,0.279879899715217,0.0038357631422673,1.6870191182983e-05,-0.0458148495449665,0.00641635193130317,2.6400590406975e-05,0.0293768503418606,18857291.335,12220593544920.1,0.123109298813936,0
8940,1.8,-51.4,298.241672363281,1.77524971789939,0.501707324985672,0.00670246591752705,2.81206966902943e-05,0.198174666671992,0.00999569000171808,2.90155633906165e-05,0.211542440326419,15766150.2783333,18270842787700.5,0.360409793733426,100
8943,-17.7,-62.4,297.971008300781,5.54977593498684,0.0954609449281441,0.002881205629407,4.29160785453933e-06,0.0949590621164406,0.00570430288510882,9.58784971789456e-06,0.235989062438996,17102123.2783333,17745669988027.5,0.258158076359545,21
8953,-19.6,-45.7,295.539204915365,3.83861702280233,0.14748604589369,0.00349199680090275,1.41458519680171e-05,-0.00613131745571976,0.00583559347726729,2.05149245567029e-05,0.0356058736434686,18048034.4616667,14299160969073.2,0.13251555556065,0
8956,-6.1,-58.5,299.393189290365,1.98119307421455,0.480346943006954,0.00716788652043761,2.25658128214762e-05,0.109560014578329,0.0106744405953335,2.61303744492239e-05,0.193437126691088,16351808.8383333,9832515012547.91,0.209813645913753,100
8961,-12.5,-53.3,299.072310384115,1.65657601964846,0.345473094722848,0.00423963500358449,1.65269161514993e-05,0.029559770125287,0.00716332301669108,2.4734695845743e-05,0.124870399722838,17858258.2666667,10708246169086.5,0.120599590154946,100
8967,-8.5,-68.9,298.338742675781,0.851974389419508,0.443122380648113,0.00580484073757058,1.15988782564371e-05,0.327691442034631,0.00934196049961126,1.40076408847605e-05,0.381200288029401,16600750.315,10308150613953.7,0.346888775944452,100
8968,0.2,-72.6,297.998358561198,0.686611848937362,0.371424227792857,0.00686029587736508,7.86640395293194e-06,0.00287736718360171,0.0103942584077595,7.89281683186783e-06,0.0332929101830935,15749559.7416667,11153079181858.8,0.126136303401634,100
