sampleID,sampleLon,sampleLat,FC
506,-62.500000000001,-19.9,0
507,-41.2000000000007,-14.5999999999999,0
508,-57.3000000000009,-13.8999999999999,0
509,-58.900000000001,3.30000000000003,100
510,-54.2000000000009,-0.199999999999974,97
511,-65.8000000000009,-19,0
512,-38.8000000000007,-12.4999999999999,98
513,-63.600000000001,-13.4999999999999,0
514,-40.7000000000007,-3.09999999999998,15
515,-49.2000000000008,-8.69999999999996,0
516,-41.2000000000007,-4.29999999999998,0
517,-60.500000000001,-7.29999999999997,100
518,-73.8000000000005,3.90000000000003,0
519,-58.4000000000009,-16.0999999999999,0
520,-55.4000000000009,-5.89999999999997,100
521,-54.9000000000009,-13.1999999999999,0
522,-49.0000000000008,-8.89999999999996,0
523,-48.0000000000008,-11.2,0
524,-71.2000000000006,-13.7999999999999,0
525,-58.0000000000009,2.10000000000003,98
526,-74.0000000000005,7.10000000000002,99
527,-48.5000000000008,-11.2,0
528,-66.5000000000009,-18.3,0
529,-51.1000000000008,1.80000000000003,98
530,-42.3000000000007,-13.0999999999999,0
531,-39.0000000000007,-9.49999999999996,0
532,-76.2000000000003,-6.59999999999997,94
533,-46.8000000000008,-1.49999999999997,0
534,-53.9000000000009,-9.69999999999996,100
535,-60.300000000001,-7.49999999999996,100
536,-67.2000000000008,-1.39999999999997,100
537,-67.1000000000008,-5.89999999999997,100
538,-42.5000000000007,-22.8,44
539,-39.7000000000007,-14.1999999999999,0
540,-39.2000000000007,-12.3999999999999,0
541,-55.1000000000009,-22.4,0
542,-72.1000000000006,-9.69999999999996,98
543,-70.5000000000007,6.00000000000002,0
544,-41.8000000000007,-4.29999999999998,49
545,-68.7000000000008,-19.4,0
546,-69.6000000000007,-6.69999999999997,100
547,-48.3000000000008,-14.5999999999999,8
548,-62.500000000001,-23.5,0
549,-50.6000000000008,-0.799999999999974,100
550,-72.2000000000006,8.60000000000001,29
551,-74.6000000000004,1.90000000000003,52
552,-71.2000000000006,-9.69999999999996,100
553,-70.0000000000007,-15.9999999999999,0
554,-59.400000000001,5.70000000000002,100
555,-68.5000000000008,-11.2,100
556,-39.4000000000007,-14.7999999999999,100
557,-77.0000000000003,-2.69999999999998,100
558,-49.6000000000008,-6.09999999999997,0
559,-52.5000000000009,-1.39999999999997,100
560,-51.6000000000008,0.100000000000026,100
561,-63.300000000001,-16.1999999999999,98
562,-59.900000000001,-2.49999999999998,100
563,-62.800000000001,-22.7,51
564,-71.1000000000006,-12.5999999999999,100
565,-58.5000000000009,-23.3,90
566,-67.3000000000008,1.50000000000003,100
567,-68.4000000000008,8.00000000000001,0
568,-56.9000000000009,-8.79999999999996,100
569,-53.5000000000009,-4.29999999999998,100
570,-61.300000000001,-17.7,30
571,-73.6000000000005,9.70000000000001,0
572,-55.4000000000009,-1.79999999999997,100
573,-61.500000000001,-21.6,44
574,-36.3000000000006,-7.59999999999996,0
575,-65.6000000000009,0.900000000000026,100
576,-69.3000000000007,2.70000000000003,100
577,-75.5000000000004,-0.199999999999974,100
578,-77.7000000000002,-5.99999999999997,95
579,-71.7000000000006,1.80000000000003,100
580,-69.6000000000007,-15.6999999999999,0
581,-64.600000000001,8.10000000000001,65
582,-44.5000000000007,-9.39999999999996,59
583,-71.9000000000006,11,NaN
584,-57.9000000000009,3.70000000000003,98
585,-56.3000000000009,2.20000000000003,100
586,-63.800000000001,-0.199999999999974,100
587,-72.5000000000005,-4.19999999999998,100
588,-45.8000000000008,-4.39999999999998,89
589,-52.0000000000009,-20.7,0
590,-52.7000000000009,-19.1,0
591,-68.6000000000008,-2.29999999999997,100
592,-41.2000000000007,-10.9,0
593,-53.7000000000009,-4.09999999999998,0
594,-70.0000000000007,-23.7,0
595,-70.5000000000007,10.1,NaN
596,-55.0000000000009,-8.49999999999996,100
597,-73.1000000000005,-3.79999999999998,100
598,-74.0000000000005,-14.1999999999999,0
599,-43.7000000000007,-5.19999999999997,98
600,-68.2000000000008,-1.59999999999997,100
601,-75.3000000000004,-14.0999999999999,0
602,-67.0000000000009,-23.9,0
603,-54.4000000000009,-3.79999999999998,0
604,-55.8000000000009,-16.0999999999999,0
605,-75.1000000000004,2.20000000000003,15
606,-64.900000000001,-17.4,93
607,-42.8000000000007,-6.29999999999997,43
608,-48.2000000000008,-11.1,0
609,-68.4000000000008,-3.49999999999998,100
610,-64.000000000001,-13.3999999999999,0
611,-54.0000000000009,-13.3999999999999,0
612,-80.2000000000001,7.50000000000002,0
613,-62.400000000001,7.20000000000002,0
614,-74.5000000000004,-4.79999999999997,100
615,-59.800000000001,-21.6,56
616,-64.000000000001,2.70000000000003,100
617,-38.4000000000007,-9.19999999999996,0
618,-54.8000000000009,-16.6999999999999,0
619,-57.8000000000009,-14.6999999999999,99
620,-50.7000000000008,-16.9999999999999,0
621,-49.0000000000008,-3.89999999999998,0
622,-43.5000000000007,-11.1,44
623,-66.8000000000009,-13.5999999999999,0
624,-71.6000000000006,-10.6,100
625,-46.3000000000008,-10.8,0
626,-67.8000000000008,-9.79999999999996,98
627,-70.5000000000007,-17.9,0
628,-63.300000000001,-6.49999999999997,100
629,-74.3000000000004,-12.2999999999999,98
630,-79.5000000000001,-2.39999999999998,82
631,-76.9000000000003,4.60000000000003,99
632,-57.9000000000009,-5.99999999999997,100
633,-68.4000000000008,-20.9,0
634,-59.900000000001,2.60000000000003,0
635,-56.6000000000009,-14.6999999999999,0
636,-71.1000000000006,8.30000000000001,90
637,-75.6000000000004,3.90000000000003,95
638,-41.2000000000007,-10.4,0
639,-54.0000000000009,-23.8,51
640,-52.0000000000009,-2.89999999999998,0
641,-58.1000000000009,-6.19999999999997,100
642,-60.700000000001,-10.6,100
643,-64.200000000001,9.40000000000001,0
644,-75.4000000000004,-10.1,100
645,-64.900000000001,-1.09999999999997,100
646,-50.6000000000008,-7.39999999999996,100
647,-70.9000000000006,-11.6999999999999,100
648,-59.900000000001,-20.5,48
649,-48.2000000000008,-0.899999999999974,97
650,-61.200000000001,8.50000000000001,56
651,-65.4000000000009,-23.4,0
652,-49.4000000000008,-11.3,0
653,-74.2000000000004,2.20000000000003,98
654,-47.0000000000008,-4.59999999999997,29
655,-56.1000000000009,-20.9,0
656,-65.3000000000009,8.10000000000001,0
657,-74.8000000000004,-5.09999999999997,100
658,-38.1000000000007,-8.99999999999996,0
659,-74.9000000000004,10.4,NaN
660,-48.9000000000008,-16.4999999999999,0
661,-72.0000000000006,-5.99999999999997,100
662,-40.6000000000007,-7.59999999999996,0
663,-48.9000000000008,-10.1,0
